Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,fare_per_miles,cpi_adj,fare_real,fare_lg_real,fare_low_real
2022,1,30977,31454,"Chicago, IL","Orlando, FL",1005,4224,188.39,WN,0.3372,181.26,NK,0.1011,120.42,3429260.0,0.7898,-0.01385,7232690.0,0.9551,-0.0233,0.18745273631840795,99.9999998830022,188.39000022041213,181.2600002120702,120.42000014088875
2022,1,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",787,4205,165.92,WN,0.395,182.43,B6,0.1104,139.32,7232690.0,0.9551,-0.0233,2001510.0,0.625366666666666,0.0405,0.2108259212198221,99.9999998830022,165.9200001941227,182.4300002134391,139.3200001630013
2022,1,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,4083,147.64,DL,0.5042,172.98,WN,0.1427,118.2,5324640.0,0.8866,0.1031,4119170.0,0.9156,-0.03855,0.24855218855218852,99.9999998830022,147.6400001727355,172.98000020238277,118.20000013829139
2022,1,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,4063,137.02,WN,0.5922,138.95,AS,0.1413,133.98,6299930.0,0.99,-0.0975,1969430.0,0.843,-0.0436,0.3309661835748792,99.9999998830022,137.0200001603104,138.95000016256841,133.98000015675362
2022,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,3959,288.45,AA,0.5537,305.28,B6,0.2025,293.73,2062270.0,0.888139999999999,-0.0548,4119170.0,0.9156,-0.03855,0.1231113956466069,99.9999998830022,288.4500003374801,305.2800003571708,293.73000034365765
2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3946,152.73,AA,0.4833,160.73,WN,0.1025,123.45,3003365.0,0.7158,0.04475,1973783.33333333,0.848399999999999,-0.0558333333333333,0.10695378151260504,99.9999998830022,152.73000017869072,160.73000018805052,123.45000014443377
2022,1,30977,30466,"Chicago, IL","Phoenix, AZ",1444,3933,226.18,AA,0.379,245.4,WN,0.3156,207.13,3429260.0,0.7898,-0.01385,3088330.0,0.9727,-0.19665,0.1566343490304709,99.9999998830022,226.18000026462562,245.4000002871126,207.13000024233753
2022,1,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",447,3925,140.83,WN,0.6058,135.97,WN,0.6058,135.97,3011950.0,0.8881,0.0164,1969430.0,0.843,-0.0436,0.31505592841163316,99.9999998830022,140.830000164768,135.9700001590819,135.9700001590819
2022,1,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,3891,126.01,WN,0.8756,123.88,NK,0.024,87.73,2062270.0,0.888139999999999,-0.0548,1546480.0,0.9798,-0.0695,0.3119059405940594,99.9999998830022,126.01000014742893,123.88000014493686,87.73000010264217
2022,1,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",590,3799,174.18,DL,0.6731,191.32,WN,0.2126,130.14,2062270.0,0.888139999999999,-0.0548,2838780.0,0.7884,0.2019,0.29522033898305083,99.9999998830022,174.18000020378676,191.32000022384017,130.1400001522609
2022,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,3534,260.33,UA,0.3685,273.11,AS,0.1073,223.44,2062270.0,0.888139999999999,-0.0548,2001510.0,0.625366666666666,0.0405,0.11177758694718763,99.9999998830022,260.3300003045803,273.1100003195327,223.44000026141987
2022,1,32457,30559,"San Francisco, CA (Metropolitan Area)","Seattle, WA",696,3383,148.21,AS,0.5987,145.04,WN,0.1451,132.86,1969430.0,0.843,-0.0436,3889610.0,0.4265,-0.0942,0.2129454022988506,99.9999998830022,148.21000017340242,145.0400001696936,132.8600001554433
2022,1,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",1102,3376,183.88,B6,0.3933,185.21,UA,0.3516,181.53,2740800.0,0.917,0.0409,1973783.33333333,0.848399999999999,-0.0558333333333333,0.16686025408348457,99.9999998830022,183.88000021513554,185.2100002166916,181.53000021238608
2022,1,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3336,220.1,UA,0.5428,230.53,WN,0.1259,169.87,6154490.0,0.9555,-0.0282,1973783.33333333,0.848399999999999,-0.0558333333333333,0.1326702833031947,99.9999998830022,220.10000025751214,230.530000269715,169.87000019874415
2022,1,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2282,3329,250.66,UA,0.3379,260.56,NK,0.1083,115.82,6299930.0,0.99,-0.0975,1973783.33333333,0.848399999999999,-0.0558333333333333,0.10984224364592463,99.9999998830022,250.66000029326665,260.56000030484944,115.82000013550683
2022,1,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",1276,3242,204.06,DL,0.4765,246.86,SY,0.2808,159.0,3358700.0,0.768,0.0196,3088330.0,0.9727,-0.19665,0.1599216300940439,99.9999998830022,204.0600002387457,246.86000028882074,159.00000018602648
2022,1,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",1465,3235,172.39,UA,0.5126,195.27,WN,0.1296,130.33,2101435.0,0.82155,0.0049,1973783.33333333,0.848399999999999,-0.0558333333333333,0.11767235494880546,99.9999998830022,172.3900002016925,195.27000022846158,130.33000015248322
2022,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",418,3217,125.28,AA,0.2935,129.75,DL,0.1149,104.22,1584666.66666666,0.893266666666666,-0.00403333333333333,2001510.0,0.625366666666666,0.0405,0.2997129186602871,99.9999998830022,125.28000014657484,129.75000015180464,104.2200001219351
2022,1,30325,30466,"Denver, CO","Phoenix, AZ",602,3188,172.47,WN,0.4357,183.4,F9,0.1444,104.64,6154490.0,0.9555,-0.0282,3088330.0,0.9727,-0.19665,0.28649501661129567,99.9999998830022,172.4700002017861,183.40000021457396,104.64000012242649
2022,1,31454,34100,"Orlando, FL","Philadelphia, PA",861,3156,158.03,AA,0.4504,206.52,NK,0.1457,97.0,7232690.0,0.9551,-0.0233,2606160.0,0.7872,0.0448,0.1835423925667828,99.9999998830022,158.0300001848916,206.52000024162385,97.00000011348786
2022,1,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,3124,161.86,DL,0.5387,181.77,WN,0.2382,140.53,5324640.0,0.8866,0.1031,2001510.0,0.625366666666666,0.0405,0.2805199306759099,99.9999998830022,161.86000018937264,181.7700002126669,140.530000164417
2022,1,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",668,3115,147.07,WN,0.5856,144.49,WN,0.5856,144.49,3088330.0,0.9727,-0.19665,1969430.0,0.843,-0.0436,0.22016467065868262,99.9999998830022,147.07000017206863,144.49000016905012,144.49000016905012
2022,1,30466,30559,"Phoenix, AZ","Seattle, WA",1107,3100,181.5,AS,0.5255,188.33,WN,0.1817,151.19,3088330.0,0.9727,-0.19665,3889610.0,0.4265,-0.0942,0.16395663956639567,99.9999998830022,181.50000021235098,188.33000022034196,151.19000017688896
2022,1,31453,32575,"Houston, TX","Los Angeles, CA (Metropolitan Area)",1390,3081,201.93,UA,0.4089,240.85,NK,0.1303,125.53,2101435.0,0.82155,0.0049,2062270.0,0.888139999999999,-0.0548,0.14527338129496403,99.9999998830022,201.93000023625365,240.85000028178916,125.53000014686732
