iter	RMSE
0	58.54470871
1	57.62138469
2	56.70017882
3	55.86050214
4	55.08290303
5	54.22509921
6	53.43362872
7	52.65545493
8	51.94542686
9	51.23660861
10	50.56550787
11	49.87878873
12	49.19726159
13	48.53255864
14	47.93889195
15	47.36162852
16	46.7834018
17	46.20070927
18	45.6812826
19	45.18060478
20	44.7004167
21	44.20327568
22	43.77809046
23	43.3442604
24	42.9369188
25	42.51181553
26	42.08859914
27	41.70377363
28	41.31998041
29	40.94479837
30	40.58739994
31	40.23645167
32	39.89517377
33	39.57242597
34	39.2541018
35	38.92976559
36	38.6339688
37	38.36202168
38	38.09403343
39	37.81921887
40	37.56322107
41	37.33098014
42	37.11488649
43	36.85441396
44	36.64247987
45	36.43872857
46	36.20694231
47	36.00837281
48	35.80357838
49	35.623237
50	35.41574932
51	35.22318497
52	35.03486834
53	34.87663443
54	34.69992746
55	34.5476411
56	34.37820568
57	34.21518451
58	34.05660089
59	33.91312974
60	33.77494351
61	33.59952554
62	33.47209984
63	33.33633043
64	33.19536222
65	33.07069659
66	32.93098242
67	32.80704893
68	32.69038227
69	32.58386247
70	32.5095968
71	32.40863052
72	32.31494164
73	32.21607715
74	32.1178881
75	32.00673284
76	31.89507409
77	31.78441499
78	31.69520134
79	31.6000032
80	31.51719241
81	31.43881525
82	31.36723428
83	31.26008047
84	31.16436279
85	31.05422793
86	30.97514617
87	30.88807062
88	30.82290369
89	30.7576589
90	30.66814207
91	30.59933372
92	30.52732002
93	30.44055822
94	30.37409183
95	30.31030207
96	30.25827675
97	30.19981818
98	30.14821284
99	30.08789346
100	30.03104207
101	29.96655426
102	29.91896758
103	29.85746939
104	29.80404743
105	29.74247633
106	29.69352534
107	29.64428003
108	29.59395636
109	29.53764351
110	29.50069352
111	29.4537391
112	29.40499961
113	29.3608409
114	29.30074072
115	29.25735938
116	29.20763843
117	29.15815141
118	29.11179221
119	29.06615552
120	29.02157546
121	28.98329287
122	28.94073659
123	28.8943013
124	28.83732454
125	28.7949721
126	28.7504205
127	28.6959061
128	28.65106326
129	28.61512749
130	28.58095009
131	28.5356903
132	28.49863873
133	28.4563612
134	28.41584204
135	28.3825965
136	28.34761551
137	28.31547243
138	28.28355189
139	28.2391062
140	28.20313806
141	28.14947105
142	28.10973243
143	28.08047203
144	28.04389784
