Year,Quarter,city_1,city_2,state_1,state_2,nsmiles,passengers,fare_real,large_ms,fare_lg_real,carrier_low,lf_ms,fare_low_real,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,median_income_1,median_income_2,metro_1,metro_2,TotalFaredTotal
2022,1,Atlanta,Miami,GA,FL,594,4083,147.6400001727355,0.5042,172.98000020238277,WN,0.1427,118.2000001382914,5324640.0,0.8866,0.1031,4119170.0,0.9156,-0.03855,72837.0,69303.0,True,True,9443810.0
2022,1,Las Vegas,San Francisco,NV,CA,414,4063,137.0200001603104,0.5922,138.9500001625684,AS,0.1413,133.98000015675362,6299930.0,0.99,-0.0975,1969430.0,0.843,-0.0436,72333.0,91551.0,False,True,8269360.0
2022,1,Los Angeles,Miami,CA,FL,2343,3959,288.4500003374801,0.5537,305.2800003571708,B6,0.2025,293.73000034365765,2062270.0,0.888139999999999,-0.0548,4119170.0,0.9156,-0.03855,91551.0,69303.0,True,True,6181440.0
2022,1,Dallas/Fort Worth,New York City,TX,NY,1428,3946,152.73000017869072,0.4833,160.73000018805052,WN,0.1025,123.45000014443376,3003365.0,0.7158,0.04475,1973783.33333333,0.848399999999999,-0.0558333333333333,72284.0,79557.0,False,True,4977148.33333333
2022,1,Chicago,Phoenix,IL,AZ,1444,3933,226.1800002646256,0.379,245.4000002871126,WN,0.3156,207.13000024233756,3429260.0,0.7898,-0.01385,3088330.0,0.9727,-0.19665,76708.0,74568.0,False,False,6517590.0
2022,1,San Diego,San Francisco,CA,CA,447,3925,140.830000164768,0.6058,135.9700001590819,WN,0.6058,135.9700001590819,3011950.0,0.8881,0.0164,1969430.0,0.843,-0.0436,91551.0,91551.0,False,True,4981380.0
2022,1,Los Angeles,Sacramento,CA,CA,404,3891,126.01000014742893,0.8756,123.88000014493686,NK,0.024,87.73000010264217,2062270.0,0.888139999999999,-0.0548,1546480.0,0.9798,-0.0695,91551.0,91551.0,True,False,3608750.0
2022,1,Los Angeles,Salt Lake City,CA,UT,590,3799,174.18000020378676,0.6731,191.32000022384017,WN,0.2126,130.1400001522609,2062270.0,0.888139999999999,-0.0548,2838780.0,0.7884,0.2019,91551.0,89168.0,True,False,4901050.0
2022,1,Los Angeles,Washington,CA,DC,2329,3534,260.3300003045803,0.3685,273.1100003195327,AS,0.1073,223.44000026141987,2062270.0,0.888139999999999,-0.0548,2001510.0,0.625366666666666,0.0405,91551.0,101027.0,True,True,4063780.0
2022,1,San Francisco,Seattle,CA,WA,696,3383,148.21000017340242,0.5987,145.0400001696936,WN,0.1451,132.8600001554433,1969430.0,0.843,-0.0436,3889610.0,0.4265,-0.0942,91551.0,91306.0,True,False,5859040.0
2022,1,Fort Myers,New York City,FL,NY,1102,3376,183.88000021513557,0.3933,185.2100002166916,UA,0.3516,181.53000021238608,2740800.0,0.917,0.0409,1973783.33333333,0.848399999999999,-0.0558333333333333,69303.0,79557.0,False,True,4714583.33333333
2022,1,Denver,New York City,CO,NY,1659,3336,220.1000002575121,0.5428,230.530000269715,WN,0.1259,169.87000019874415,6154490.0,0.9555,-0.0282,1973783.33333333,0.848399999999999,-0.0558333333333333,89302.0,79557.0,False,True,8128273.33333333
2022,1,Las Vegas,New York City,NV,NY,2282,3329,250.66000029326665,0.3379,260.56000030484944,NK,0.1083,115.82000013550685,6299930.0,0.99,-0.0975,1973783.33333333,0.848399999999999,-0.0558333333333333,72333.0,79557.0,False,True,8273713.33333333
2022,1,Minneapolis/St. Paul,Phoenix,MN,AZ,1276,3242,204.0600002387457,0.4765,246.86000028882077,SY,0.2808,159.00000018602648,3358700.0,0.768,0.0196,3088330.0,0.9727,-0.19665,82338.0,74568.0,False,False,6447030.0
2022,1,Houston,New York City,TX,NY,1465,3235,172.3900002016925,0.5126,195.2700002284616,WN,0.1296,130.33000015248322,2101435.0,0.82155,0.0049,1973783.33333333,0.848399999999999,-0.0558333333333333,72284.0,79557.0,False,True,4075218.33333333
2022,1,Boston,Washington,MA,DC,418,3217,125.28000014657484,0.2935,129.75000015180464,DL,0.1149,104.2200001219351,1584666.66666666,0.893266666666666,-0.0040333333333333,2001510.0,0.625366666666666,0.0405,94488.0,101027.0,True,True,3586176.66666666
2022,1,Denver,Phoenix,CO,AZ,602,3188,172.4700002017861,0.4357,183.400000214574,F9,0.1444,104.64000012242649,6154490.0,0.9555,-0.0282,3088330.0,0.9727,-0.19665,89302.0,74568.0,False,False,9242820.0
2022,1,Orlando,Philadelphia,FL,PA,861,3156,158.0300001848916,0.4504,206.52000024162385,NK,0.1457,97.00000011348786,7232690.0,0.9551,-0.0233,2606160.0,0.7872,0.0448,69303.0,71798.0,False,False,9838850.0
2022,1,Atlanta,Washington,GA,DC,577,3124,161.86000018937264,0.5387,181.7700002126669,WN,0.2382,140.530000164417,5324640.0,0.8866,0.1031,2001510.0,0.625366666666666,0.0405,72837.0,101027.0,True,True,7326150.0
2022,1,Phoenix,San Francisco,AZ,CA,668,3115,147.07000017206863,0.5856,144.49000016905012,WN,0.5856,144.49000016905012,3088330.0,0.9727,-0.19665,1969430.0,0.843,-0.0436,74568.0,91551.0,False,True,5057760.0
2022,1,Phoenix,Seattle,AZ,WA,1107,3100,181.50000021235095,0.5255,188.330000220342,WN,0.1817,151.19000017688896,3088330.0,0.9727,-0.19665,3889610.0,0.4265,-0.0942,74568.0,91306.0,False,False,6977940.0
2022,1,Houston,Los Angeles,TX,CA,1390,3081,201.93000023625365,0.4089,240.8500002817892,NK,0.1303,125.53000014686732,2101435.0,0.82155,0.0049,2062270.0,0.888139999999999,-0.0548,72284.0,91551.0,False,True,4163705.0
2022,1,Chicago,Las Vegas,IL,NV,1521,3042,202.3700002367684,0.3167,184.71000021610664,NK,0.15,124.16000014526443,3429260.0,0.7898,-0.01385,6299930.0,0.99,-0.0975,76708.0,72333.0,False,False,9729190.0
2022,1,Los Angeles,Portland,CA,OR,859,3031,185.5400002170777,0.6288,183.9800002152525,WN,0.113,171.2900002004055,2062270.0,0.888139999999999,-0.0548,1865740.0,0.6854,0.0208,91551.0,75657.0,True,False,3928010.0
2022,1,Minneapolis/St. Paul,Orlando,MN,FL,1310,3014,196.46000022985388,0.478,240.690000281602,SY,0.3684,160.05000018725497,3358700.0,0.768,0.0196,7232690.0,0.9551,-0.0233,82338.0,69303.0,False,False,10591390.0
2022,1,Atlanta,Los Angeles,GA,CA,1947,2931,300.33000035137945,0.5821,368.8200004315112,NK,0.1367,141.92000016604325,5324640.0,0.8866,0.1031,2062270.0,0.888139999999999,-0.0548,72837.0,91551.0,True,True,7386910.0
2022,1,Detroit,Miami,MI,FL,1145,2905,200.8400002349784,0.579,239.7300002804788,NK,0.2462,121.3200001419417,2835510.0,0.7535,0.1007,4119170.0,0.9156,-0.03855,66986.0,69303.0,False,True,6954680.0
